rank,experiment,rank,sampling,model,calibration,accuracy,recall,precision,f1,auc,logloss,ece,combined
167,B · XGBoost / AdaBoost,46,cw,adaboost,isotonic,0.848,0.0,0.0,0.0,0.8226,0.3236,0.0007,0.630925
168,A · KNN / RF,41,smote,knn,isotonic,0.848,0.0094,0.5119,0.0184,0.8199,0.331,0.0078,0.62965
169,A · KNN / RF,42,smotenc,knn,isotonic,0.848,0.0094,0.5119,0.0184,0.8199,0.331,0.0078,0.62965
170,A · KNN / RF,43,smotecw,knn,isotonic,0.848,0.0094,0.5119,0.0184,0.8199,0.331,0.0078,0.62965
171,A · KNN / RF,44,smotencw,knn,isotonic,0.848,0.0094,0.5119,0.0184,0.8199,0.331,0.0078,0.62965
172,A · KNN / RF,45,smote,knn,venn_abers,0.848,0.0096,0.5057,0.0188,0.8199,0.3311,0.0081,0.6295999999999999
173,A · KNN / RF,46,smotenc,knn,venn_abers,0.848,0.0096,0.5057,0.0188,0.8199,0.3311,0.0081,0.6295999999999999
174,A · KNN / RF,47,smotecw,knn,venn_abers,0.848,0.0096,0.5057,0.0188,0.8199,0.3311,0.0081,0.6295999999999999
175,A · KNN / RF,48,smotencw,knn,venn_abers,0.848,0.0096,0.5057,0.0188,0.8199,0.3311,0.0081,0.6295999999999999
176,C · LogReg / CatBoost,72,base,catboost,base,0.8498,0.0331,0.608,0.0627,0.8483,0.3284,0.0391,0.6288499999999999
177,D · Naïve Bayes,11,base,naive_bayes,isotonic,0.848,0.0,0.0,0.0,0.8091,0.3411,0.0024,0.626125
178,D · Naïve Bayes,12,cw,naive_bayes,isotonic,0.848,0.0,0.0,0.0,0.8091,0.3411,0.0024,0.626125
179,D · Naïve Bayes,13,base,naive_bayes,venn_abers,0.848,0.0,0.0,0.0,0.8091,0.3411,0.0041,0.6257
180,D · Naïve Bayes,14,cw,naive_bayes,venn_abers,0.848,0.0,0.0,0.0,0.8091,0.3411,0.0041,0.6257
181,B · XGBoost / AdaBoost,47,cw,adaboost,platt,0.848,0.0,0.0,0.0,0.8226,0.3346,0.0169,0.624125
182,B · XGBoost / AdaBoost,48,base,adaboost,base,0.8489,0.184,0.5081,0.2702,0.8456,0.4062,0.1388,0.621975
183,D · Naïve Bayes,15,base,naive_bayes,platt,0.848,0.0,0.0,0.0,0.8075,0.3488,0.0154,0.62095
184,D · Naïve Bayes,16,cw,naive_bayes,platt,0.848,0.0,0.0,0.0,0.8075,0.3488,0.0154,0.62095
185,D · Naïve Bayes,17,smote,naive_bayes,platt,0.848,0.0,0.0,0.0,0.7922,0.3536,0.0116,0.6206999999999999
186,D · Naïve Bayes,18,smotenc,naive_bayes,platt,0.848,0.0,0.0,0.0,0.7922,0.3536,0.0116,0.6206999999999999
187,D · Naïve Bayes,19,smotecw,naive_bayes,platt,0.848,0.0,0.0,0.0,0.7922,0.3536,0.0116,0.6206999999999999
188,D · Naïve Bayes,20,smotencw,naive_bayes,platt,0.848,0.0,0.0,0.0,0.7922,0.3536,0.0116,0.6206999999999999
189,D · Naïve Bayes,21,smote,naive_bayes,base,0.7309,0.7451,0.3296,0.457,0.7922,0.7991,0.212,0.616225
190,D · Naïve Bayes,22,smotenc,naive_bayes,base,0.7309,0.7451,0.3296,0.457,0.7922,0.7991,0.212,0.616225
191,D · Naïve Bayes,23,smotecw,naive_bayes,base,0.7309,0.7451,0.3296,0.457,0.7922,0.7991,0.212,0.616225
192,D · Naïve Bayes,24,smotencw,naive_bayes,base,0.7309,0.7451,0.3296,0.457,0.7922,0.7991,0.212,0.616225
