strategy,model,threshold,cal_accuracy,cal_recall,cal_f1,test_accuracy,test_recall,test_f1,test_precision,test_auc,test_min_acc_rec_f1,meets_0_90_all,n_features,blend_members,blend_weights
S9a_L1_C0.1,RF_bal,0.49,0.6878479293957909,0.7553071044438154,0.6989261393399686,0.6881194840461643,0.755165581658647,0.699069828376785,0.6507317073170732,0.758096898198731,0.6881194840461643,False,32,,
S9a_L1_C0.1,XGB_bal,0.525,0.6934147997284453,0.72459666006227,0.6939550013553809,0.6948404616429056,0.7244551372771016,0.6949025996063259,0.6676666231902961,0.7643646919560103,0.6948404616429056,False,32,,
S9a_L1_C0.1,LGBM_bal,0.5,0.6905634758995248,0.7509198981035947,0.699538562953197,0.6901561439239647,0.750353806962921,0.6991033755274262,0.6544063194273019,0.7626056841341435,0.6901561439239647,False,32,,
S9a_L1_C0.1,CAT_bal,0.51,0.6932790224032587,0.7504953297480894,0.7012695054218461,0.6924643584521385,0.7500707613925842,0.7005948446794448,0.6572420634920635,0.7652992519974213,0.6924643584521385,False,32,,
S9a_L1_C0.5,LR_bal,0.475,0.6909029192124915,0.7619586753467308,0.7028261862802689,0.6866259334691106,0.7526181715256156,0.6973511670600577,0.6496457366235036,0.7568686377530791,0.6866259334691106,False,34,,
S9a_L1_C0.5,RF_bal,0.495,0.6887304820095044,0.7476648740447212,0.6973797109101709,0.6877800407331975,0.748938579111237,0.6970954356846473,0.6519650117038315,0.7574664441055908,0.6877800407331975,False,34,,
S9a_L1_C0.5,XGB_bal,0.49,0.6917175831636116,0.77540333993773,0.7070133557003677,0.6921249151391717,0.7749787715822247,0.7071737586362756,0.6502790642441515,0.7645817495732157,0.6921249151391717,False,34,,
S9a_L1_C0.5,LGBM_bal,0.475,0.6906313645621182,0.7881403906028871,0.7096527556546671,0.688051595383571,0.7823379564109821,0.7064085361957703,0.6439138031450203,0.7624723602159655,0.688051595383571,False,34,,
S9a_L1_C0.5,CAT_bal,0.515,0.6938221317040054,0.7427115765638268,0.6994535519125683,0.6945010183299389,0.7442683272006793,0.7003595685177787,0.6613430583501007,0.7652629480052968,0.6945010183299389,False,34,,
S9b_RF_importance_k15,LR_bal,0.5,0.6832993890020367,0.7127087461081234,0.683449820180498,0.6789545145960625,0.7081800169827343,0.6791070095677546,0.6523269456394212,0.747990114234592,0.6789545145960625,False,15,,
S9b_RF_importance_k15,RF_bal,0.49,0.6776646300067889,0.7264364562694594,0.6837618222991875,0.6822810590631364,0.7362015284460798,0.6897374701670644,0.6487902220004989,0.7495214742360577,0.6822810590631364,False,15,,
S9b_RF_importance_k15,XGB_bal,0.515,0.6831636116768499,0.7159637701669969,0.6843422387554954,0.6838424983027834,0.7195018397962072,0.6858684654300169,0.6552390772006702,0.7537068850391802,0.6838424983027834,False,15,,
S9b_RF_importance_k15,LGBM_bal,0.505,0.6806517311608962,0.7224738182847439,0.6845916588440392,0.6794297352342159,0.7203509765072177,0.6831297812374177,0.6495661051556917,0.751493394076843,0.6794297352342159,False,15,,
S9b_RF_importance_k15,CAT_bal,0.515,0.6806517311608962,0.7148315878856496,0.6822909631230583,0.6823489477257298,0.7182281347296915,0.6844696203385259,0.6537421100090172,0.7534524616396434,0.6823489477257298,False,15,,
S9b_RF_importance_k20,LR_bal,0.49,0.6822810590631364,0.7251627512029437,0.6864951768488746,0.6788866259334692,0.7220492499292386,0.6832730681665997,0.6484494153533299,0.7480675233571688,0.6788866259334692,False,20,,
S9b_RF_importance_k20,RF_bal,0.5,0.6775288526816021,0.7086045853382394,0.6782714711460309,0.678071961982349,0.7163883385225022,0.6810170859679806,0.648974358974359,0.7480713827337475,0.678071961982349,False,20,,
S9b_RF_importance_k20,XGB_bal,0.515,0.6826883910386965,0.7163883385225022,0.684146506284633,0.6818737270875763,0.7192187942258703,0.6844444444444444,0.6528776978417267,0.7524427730163616,0.6818737270875763,False,20,,
S9b_RF_importance_k20,LGBM_bal,0.495,0.6805838424983028,0.73351259552788,0.6878110278017384,0.6793618465716226,0.7357769600905746,0.6876529330070763,0.6454376163873371,0.7498189232213777,0.6793618465716226,False,20,,
S9b_RF_importance_k20,CAT_bal,0.52,0.6830957230142566,0.7114350410416077,0.682923515826654,0.6845892735913103,0.7151146334559864,0.6850596529284165,0.6574290918553214,0.753521745758896,0.6845892735913103,False,20,,
S9b_RF_importance_k25,LR_bal,0.495,0.685132382892057,0.7271440701953015,0.6890170309776049,0.6840461642905635,0.7210585904330598,0.686472648881703,0.6550527127796348,0.7526386132953418,0.6840461642905635,False,25,,
S9b_RF_importance_k25,RF_bal,0.47,0.6832993890020367,0.7703085196716671,0.7000192913638994,0.6854039375424305,0.7758279082932352,0.7029106295678933,0.6425222691045476,0.7529278634136715,0.6854039375424305,False,25,,
S9b_RF_importance_k25,XGB_bal,0.5,0.688662593346911,0.7487970563260685,0.6976529535864979,0.6894093686354379,0.7493631474667422,0.6983184965380811,0.6537844178293617,0.7584217783032275,0.6894093686354379,False,25,,
S9b_RF_importance_k25,LGBM_bal,0.5,0.6858112695179905,0.7417209170676479,0.6937127729980146,0.686490156143924,0.7374752335125955,0.6929521276595745,0.6534988713318285,0.7568212911428008,0.686490156143924,False,25,,
